Bought,XOM,[86.],['2021-04-28 00:00:00+00:00'],[58.11]
Bought,XOM,[87.],['2021-10-29 00:00:00+00:00'],[64.47]
Sold,XOM,[87.],['2021-11-01 00:00:00+00:00'],[65.63]
Bought,QCOM,[42.],['2021-11-01 00:00:00+00:00'],[134.81]
Sold,QCOM,[42.],['2021-11-02 00:00:00+00:00'],[135.23]
Bought,QCOM,[42.],['2021-11-02 00:00:00+00:00'],[135.23]
Sold,QCOM,[42.],['2021-11-03 00:00:00+00:00'],[138.48]
Bought,QCOM,[42.],['2021-11-03 00:00:00+00:00'],[138.48]
Sold,QCOM,[42.],['2021-11-04 00:00:00+00:00'],[156.11]
Bought,QCOM,[42.],['2021-11-04 00:00:00+00:00'],[156.11]
Sold,QCOM,[42.],['2021-11-05 00:00:00+00:00'],[163.03]
Bought,QCOM,[42.],['2021-11-05 00:00:00+00:00'],[163.03]
Sold,QCOM,[42.],['2021-11-08 00:00:00+00:00'],[165.85]
Bought,QCOM,[42.],['2021-11-08 00:00:00+00:00'],[165.85]
Sold,QCOM,[42.],['2021-11-09 00:00:00+00:00'],[166.74]
Bought,QCOM,[42.],['2021-11-09 00:00:00+00:00'],[166.74]
Sold,QCOM,[42.],['2021-11-10 00:00:00+00:00'],[159.8]
Bought,QCOM,[42.],['2021-11-10 00:00:00+00:00'],[159.8]
Sold,QCOM,[42.],['2021-11-11 00:00:00+00:00'],[164.42]
Bought,QCOM,[42.],['2021-11-11 00:00:00+00:00'],[164.42]
Sold,QCOM,[42.],['2021-11-12 00:00:00+00:00'],[164.94]
Bought,QCOM,[42.],['2021-11-12 00:00:00+00:00'],[164.94]
Sold,QCOM,[42.],['2021-11-15 00:00:00+00:00'],[168.51]
Bought,QCOM,[42.],['2021-11-15 00:00:00+00:00'],[168.51]
Sold,QCOM,[42.],['2021-11-16 00:00:00+00:00'],[181.81]
Bought,QCOM,[42.],['2021-11-16 00:00:00+00:00'],[181.81]
Sold,QCOM,[42.],['2021-11-17 00:00:00+00:00'],[183.54]
Bought,QCOM,[42.],['2021-11-17 00:00:00+00:00'],[183.54]
Sold,QCOM,[42.],['2021-11-18 00:00:00+00:00'],[186.32]
Bought,QCOM,[42.],['2021-11-18 00:00:00+00:00'],[186.32]
Sold,QCOM,[42.],['2021-11-19 00:00:00+00:00'],[185.]
Bought,QCOM,[42.],['2021-11-19 00:00:00+00:00'],[185.]
Sold,QCOM,[42.],['2021-11-22 00:00:00+00:00'],[181.4]
Bought,QCOM,[42.],['2021-11-22 00:00:00+00:00'],[181.4]
Sold,QCOM,[42.],['2021-11-23 00:00:00+00:00'],[180.94]
Bought,QCOM,[42.],['2021-11-23 00:00:00+00:00'],[180.94]
Sold,QCOM,[42.],['2021-11-24 00:00:00+00:00'],[180.71]
Bought,QCOM,[42.],['2021-11-24 00:00:00+00:00'],[180.71]
Sold,QCOM,[42.],['2021-11-26 00:00:00+00:00'],[175.74]
Bought,QCOM,[42.],['2021-11-26 00:00:00+00:00'],[175.74]
Sold,QCOM,[42.],['2021-11-29 00:00:00+00:00'],[183.74]
Bought,QCOM,[42.],['2021-11-29 00:00:00+00:00'],[183.74]
Sold,QCOM,[42.],['2021-11-30 00:00:00+00:00'],[180.56]
Bought,XOM,[128.],['2021-11-30 00:00:00+00:00'],[59.84]
Sold,XOM,[128.],['2021-12-01 00:00:00+00:00'],[59.79]
Bought,XOM,[128.],['2021-12-01 00:00:00+00:00'],[59.79]
Sold,XOM,[128.],['2021-12-02 00:00:00+00:00'],[61.28]
Bought,QCOM,[44.],['2021-12-02 00:00:00+00:00'],[177.03]
Sold,QCOM,[44.],['2021-12-03 00:00:00+00:00'],[176.51]
Bought,QCOM,[44.],['2021-12-03 00:00:00+00:00'],[176.51]
Sold,QCOM,[44.],['2021-12-06 00:00:00+00:00'],[175.45]
Bought,QCOM,[44.],['2021-12-06 00:00:00+00:00'],[175.45]
Sold,QCOM,[44.],['2021-12-07 00:00:00+00:00'],[183.72]
Bought,QCOM,[44.],['2021-12-07 00:00:00+00:00'],[183.72]
Sold,QCOM,[44.],['2021-12-08 00:00:00+00:00'],[182.63]
Bought,QCOM,[44.],['2021-12-08 00:00:00+00:00'],[182.63]
Sold,QCOM,[44.],['2021-12-09 00:00:00+00:00'],[182.26]
Bought,QCOM,[44.],['2021-12-09 00:00:00+00:00'],[182.26]
Sold,QCOM,[44.],['2021-12-10 00:00:00+00:00'],[183.88]
Bought,QCOM,[44.],['2021-12-10 00:00:00+00:00'],[183.88]
Sold,QCOM,[44.],['2021-12-13 00:00:00+00:00'],[183.32]
Bought,QCOM,[44.],['2021-12-13 00:00:00+00:00'],[183.32]
Sold,QCOM,[44.],['2021-12-14 00:00:00+00:00'],[181.98]
Bought,QCOM,[44.],['2021-12-14 00:00:00+00:00'],[181.98]
Sold,QCOM,[44.],['2021-12-15 00:00:00+00:00'],[189.28]
Bought,QCOM,[44.],['2021-12-15 00:00:00+00:00'],[189.28]
Sold,QCOM,[44.],['2021-12-16 00:00:00+00:00'],[178.15]
Bought,QCOM,[44.],['2021-12-16 00:00:00+00:00'],[178.15]
Sold,QCOM,[44.],['2021-12-17 00:00:00+00:00'],[176.8]
Bought,XOM,[130.],['2021-12-17 00:00:00+00:00'],[60.03]
Sold,XOM,[130.],['2021-12-20 00:00:00+00:00'],[59.16]
Bought,XOM,[130.],['2021-12-20 00:00:00+00:00'],[59.16]
Sold,XOM,[130.],['2021-12-21 00:00:00+00:00'],[60.5]
Bought,XOM,[130.],['2021-12-21 00:00:00+00:00'],[60.5]
Sold,XOM,[130.],['2021-12-22 00:00:00+00:00'],[60.99]
Bought,QCOM,[44.],['2021-12-22 00:00:00+00:00'],[181.38]
Sold,QCOM,[44.],['2021-12-23 00:00:00+00:00'],[182.74]
Bought,QCOM,[44.],['2021-12-23 00:00:00+00:00'],[182.74]
Sold,QCOM,[44.],['2021-12-27 00:00:00+00:00'],[186.33]
Bought,QCOM,[44.],['2021-12-27 00:00:00+00:00'],[186.33]
Sold,QCOM,[44.],['2021-12-28 00:00:00+00:00'],[184.82]
Bought,QCOM,[44.],['2021-12-28 00:00:00+00:00'],[184.82]
Sold,QCOM,[44.],['2021-12-29 00:00:00+00:00'],[186.2]
Bought,XOM,[134.],['2021-12-29 00:00:00+00:00'],[61.15]
Sold,XOM,[134.],['2021-12-30 00:00:00+00:00'],[60.79]
Bought,XOM,[134.],['2021-12-30 00:00:00+00:00'],[60.79]
Sold,XOM,[134.],['2021-12-31 00:00:00+00:00'],[61.19]
Bought,XOM,[134.],['2021-12-31 00:00:00+00:00'],[61.19]
Sold,XOM,[134.],['2022-01-03 00:00:00+00:00'],[63.54]
Bought,XOM,[134.],['2022-01-03 00:00:00+00:00'],[63.54]
Sold,XOM,[134.],['2022-01-04 00:00:00+00:00'],[65.93]
Bought,GOOG,[3.],['2022-01-04 00:00:00+00:00'],[2888.33]
Sold,GOOG,[3.],['2022-01-05 00:00:00+00:00'],[2753.07]
Bought,GOOG,[3.],['2022-01-05 00:00:00+00:00'],[2753.07]
Sold,GOOG,[3.],['2022-01-06 00:00:00+00:00'],[2751.02]
Bought,GOOG,[3.],['2022-01-06 00:00:00+00:00'],[2751.02]
Sold,GOOG,[3.],['2022-01-07 00:00:00+00:00'],[2740.09]
Bought,GOOG,[3.],['2022-01-07 00:00:00+00:00'],[2740.09]
Sold,GOOG,[3.],['2022-01-10 00:00:00+00:00'],[2771.48]
Bought,GOOG,[3.],['2022-01-10 00:00:00+00:00'],[2771.48]
Sold,GOOG,[3.],['2022-01-11 00:00:00+00:00'],[2800.35]
Bought,GOOG,[3.],['2022-01-11 00:00:00+00:00'],[2800.35]
Sold,GOOG,[3.],['2022-01-12 00:00:00+00:00'],[2832.96]
Bought,GOOG,[3.],['2022-01-12 00:00:00+00:00'],[2832.96]
Sold,GOOG,[3.],['2022-01-13 00:00:00+00:00'],[2782.62]
Bought,GOOG,[3.],['2022-01-13 00:00:00+00:00'],[2782.62]
Sold,GOOG,[3.],['2022-01-14 00:00:00+00:00'],[2795.73]
Bought,GOOG,[3.],['2022-01-14 00:00:00+00:00'],[2795.73]
Sold,GOOG,[3.],['2022-01-18 00:00:00+00:00'],[2725.81]
Bought,GOOG,[3.],['2022-01-18 00:00:00+00:00'],[2725.81]
Sold,GOOG,[3.],['2022-01-19 00:00:00+00:00'],[2713.04]
Bought,GOOG,[3.],['2022-01-19 00:00:00+00:00'],[2713.04]
Sold,GOOG,[3.],['2022-01-20 00:00:00+00:00'],[2670.13]
Bought,GOOG,[3.],['2022-01-20 00:00:00+00:00'],[2670.13]
Sold,GOOG,[3.],['2022-01-21 00:00:00+00:00'],[2601.84]
Bought,GOOG,[3.],['2022-01-21 00:00:00+00:00'],[2601.84]
Sold,GOOG,[3.],['2022-01-24 00:00:00+00:00'],[2607.44]
Bought,GOOG,[3.],['2022-01-24 00:00:00+00:00'],[2607.44]
Sold,GOOG,[3.],['2022-01-25 00:00:00+00:00'],[2534.71]
Bought,GOOG,[3.],['2022-01-25 00:00:00+00:00'],[2534.71]
Sold,GOOG,[3.],['2022-01-26 00:00:00+00:00'],[2584.8]
Bought,GOOG,[3.],['2022-01-26 00:00:00+00:00'],[2584.8]
Sold,GOOG,[3.],['2022-01-27 00:00:00+00:00'],[2582.42]
Bought,GOOG,[3.],['2022-01-27 00:00:00+00:00'],[2582.42]
Sold,GOOG,[3.],['2022-01-28 00:00:00+00:00'],[2665.79]
Bought,GOOG,[3.],['2022-01-28 00:00:00+00:00'],[2665.79]
Sold,GOOG,[3.],['2022-01-31 00:00:00+00:00'],[2713.97]
Bought,GOOG,[3.],['2022-01-31 00:00:00+00:00'],[2713.97]
Sold,GOOG,[3.],['2022-02-01 00:00:00+00:00'],[2757.57]
Bought,GOOG,[3.],['2022-02-01 00:00:00+00:00'],[2757.57]
Sold,GOOG,[3.],['2022-02-02 00:00:00+00:00'],[2960.73]
Bought,GOOG,[3.],['2022-02-02 00:00:00+00:00'],[2960.73]
Sold,GOOG,[3.],['2022-02-03 00:00:00+00:00'],[2853.01]
Bought,GOOG,[3.],['2022-02-03 00:00:00+00:00'],[2853.01]
Sold,GOOG,[3.],['2022-02-04 00:00:00+00:00'],[2860.32]
Bought,GOOG,[3.],['2022-02-04 00:00:00+00:00'],[2860.32]
Sold,GOOG,[3.],['2022-02-07 00:00:00+00:00'],[2778.76]
Bought,GOOG,[3.],['2022-02-07 00:00:00+00:00'],[2778.76]
Sold,GOOG,[3.],['2022-02-08 00:00:00+00:00'],[2784.26]
Bought,GOOG,[3.],['2022-02-08 00:00:00+00:00'],[2784.26]
Sold,GOOG,[3.],['2022-02-09 00:00:00+00:00'],[2829.06]
Bought,GOOG,[3.],['2022-02-09 00:00:00+00:00'],[2829.06]
Sold,GOOG,[3.],['2022-02-10 00:00:00+00:00'],[2772.05]
Bought,GOOG,[3.],['2022-02-10 00:00:00+00:00'],[2772.05]
Sold,GOOG,[3.],['2022-02-11 00:00:00+00:00'],[2682.6]
Bought,GOOG,[3.],['2022-02-11 00:00:00+00:00'],[2682.6]
Sold,GOOG,[3.],['2022-02-14 00:00:00+00:00'],[2706.]
Bought,GOOG,[3.],['2022-02-14 00:00:00+00:00'],[2706.]
Sold,GOOG,[3.],['2022-02-15 00:00:00+00:00'],[2728.51]
Bought,GOOG,[3.],['2022-02-15 00:00:00+00:00'],[2728.51]
Sold,GOOG,[3.],['2022-02-16 00:00:00+00:00'],[2749.75]
Bought,GOOG,[3.],['2022-02-16 00:00:00+00:00'],[2749.75]
Sold,GOOG,[3.],['2022-02-17 00:00:00+00:00'],[2646.17]
Bought,GOOG,[3.],['2022-02-17 00:00:00+00:00'],[2646.17]
Sold,GOOG,[3.],['2022-02-18 00:00:00+00:00'],[2609.35]
Bought,GOOG,[3.],['2022-02-18 00:00:00+00:00'],[2609.35]
Sold,GOOG,[3.],['2022-02-22 00:00:00+00:00'],[2588.05]
Bought,GOOG,[3.],['2022-02-22 00:00:00+00:00'],[2588.05]
Sold,GOOG,[3.],['2022-02-23 00:00:00+00:00'],[2551.7]
Bought,GOOG,[3.],['2022-02-23 00:00:00+00:00'],[2551.7]
Sold,GOOG,[3.],['2022-02-24 00:00:00+00:00'],[2653.47]
Bought,GOOG,[3.],['2022-02-24 00:00:00+00:00'],[2653.47]
Sold,GOOG,[3.],['2022-02-25 00:00:00+00:00'],[2690.39]
Bought,GOOG,[3.],['2022-02-25 00:00:00+00:00'],[2690.39]
Sold,GOOG,[3.],['2022-02-28 00:00:00+00:00'],[2697.82]
Bought,GOOG,[3.],['2022-02-28 00:00:00+00:00'],[2697.82]
Sold,GOOG,[3.],['2022-03-01 00:00:00+00:00'],[2683.36]
Bought,GOOG,[3.],['2022-03-01 00:00:00+00:00'],[2683.36]
Sold,GOOG,[3.],['2022-03-02 00:00:00+00:00'],[2695.03]
Bought,GOOG,[3.],['2022-03-02 00:00:00+00:00'],[2695.03]
Sold,GOOG,[3.],['2022-03-03 00:00:00+00:00'],[2686.16]
Bought,GOOG,[3.],['2022-03-03 00:00:00+00:00'],[2686.16]
Sold,GOOG,[3.],['2022-03-04 00:00:00+00:00'],[2642.44]
Bought,GOOG,[3.],['2022-03-04 00:00:00+00:00'],[2642.44]
Sold,GOOG,[3.],['2022-03-07 00:00:00+00:00'],[2529.29]
Bought,GOOG,[3.],['2022-03-07 00:00:00+00:00'],[2529.29]
Sold,GOOG,[3.],['2022-03-08 00:00:00+00:00'],[2545.57]
Bought,GOOG,[3.],['2022-03-08 00:00:00+00:00'],[2545.57]
Sold,GOOG,[3.],['2022-03-09 00:00:00+00:00'],[2677.32]
Bought,GOOG,[3.],['2022-03-09 00:00:00+00:00'],[2677.32]
Sold,GOOG,[3.],['2022-03-10 00:00:00+00:00'],[2653.64]
Bought,GOOG,[3.],['2022-03-10 00:00:00+00:00'],[2653.64]
Sold,GOOG,[3.],['2022-03-11 00:00:00+00:00'],[2609.51]
Bought,GOOG,[3.],['2022-03-11 00:00:00+00:00'],[2609.51]
Sold,GOOG,[3.],['2022-03-14 00:00:00+00:00'],[2534.82]
Bought,GOOG,[3.],['2022-03-14 00:00:00+00:00'],[2534.82]
Sold,GOOG,[3.],['2022-03-15 00:00:00+00:00'],[2593.21]
Bought,GOOG,[3.],['2022-03-15 00:00:00+00:00'],[2593.21]
Sold,GOOG,[3.],['2022-03-16 00:00:00+00:00'],[2673.81]
Bought,GOOG,[3.],['2022-03-16 00:00:00+00:00'],[2673.81]
Sold,GOOG,[3.],['2022-03-17 00:00:00+00:00'],[2692.01]
Bought,GOOG,[3.],['2022-03-17 00:00:00+00:00'],[2692.01]
Sold,GOOG,[3.],['2022-03-18 00:00:00+00:00'],[2736.03]
Bought,GOOG,[3.],['2022-03-18 00:00:00+00:00'],[2736.03]
Sold,GOOG,[3.],['2022-03-21 00:00:00+00:00'],[2729.57]
Bought,GOOG,[3.],['2022-03-21 00:00:00+00:00'],[2729.57]
Sold,GOOG,[3.],['2022-03-22 00:00:00+00:00'],[2805.55]
Bought,GOOG,[3.],['2022-03-22 00:00:00+00:00'],[2805.55]
Sold,GOOG,[3.],['2022-03-23 00:00:00+00:00'],[2770.07]
Bought,GOOG,[3.],['2022-03-23 00:00:00+00:00'],[2770.07]
Sold,GOOG,[3.],['2022-03-24 00:00:00+00:00'],[2826.24]
Bought,GOOG,[3.],['2022-03-24 00:00:00+00:00'],[2826.24]
Sold,GOOG,[3.],['2022-03-25 00:00:00+00:00'],[2830.43]
Bought,GOOG,[3.],['2022-03-25 00:00:00+00:00'],[2830.43]
Sold,GOOG,[3.],['2022-03-28 00:00:00+00:00'],[2839.]
Bought,GOOG,[3.],['2022-03-28 00:00:00+00:00'],[2839.]
Sold,GOOG,[3.],['2022-03-29 00:00:00+00:00'],[2865.]
Bought,GOOG,[3.],['2022-03-29 00:00:00+00:00'],[2865.]
Sold,GOOG,[3.],['2022-03-30 00:00:00+00:00'],[2852.89]
Bought,GOOG,[3.],['2022-03-30 00:00:00+00:00'],[2852.89]
Sold,GOOG,[3.],['2022-03-31 00:00:00+00:00'],[2792.99]
Bought,GOOG,[3.],['2022-03-31 00:00:00+00:00'],[2792.99]
Sold,GOOG,[3.],['2022-04-01 00:00:00+00:00'],[2814.]
Bought,GOOG,[3.],['2022-04-01 00:00:00+00:00'],[2814.]
Sold,GOOG,[3.],['2022-04-04 00:00:00+00:00'],[2872.85]
Bought,GOOG,[3.],['2022-04-04 00:00:00+00:00'],[2872.85]
Sold,GOOG,[3.],['2022-04-05 00:00:00+00:00'],[2821.26]
Bought,GOOG,[3.],['2022-04-05 00:00:00+00:00'],[2821.26]
Sold,GOOG,[3.],['2022-04-06 00:00:00+00:00'],[2743.52]
Bought,GOOG,[3.],['2022-04-06 00:00:00+00:00'],[2743.52]
Sold,GOOG,[3.],['2022-04-07 00:00:00+00:00'],[2729.3]
Bought,GOOG,[3.],['2022-04-07 00:00:00+00:00'],[2729.3]
Sold,GOOG,[3.],['2022-04-08 00:00:00+00:00'],[2680.21]
Bought,GOOG,[3.],['2022-04-08 00:00:00+00:00'],[2680.21]
Sold,GOOG,[3.],['2022-04-11 00:00:00+00:00'],[2595.93]
Bought,GOOG,[3.],['2022-04-11 00:00:00+00:00'],[2595.93]
Sold,GOOG,[3.],['2022-04-12 00:00:00+00:00'],[2567.49]
Bought,GOOG,[3.],['2022-04-12 00:00:00+00:00'],[2567.49]
Sold,GOOG,[3.],['2022-04-13 00:00:00+00:00'],[2605.72]
Bought,GOOG,[3.],['2022-04-13 00:00:00+00:00'],[2605.72]
Sold,GOOG,[3.],['2022-04-14 00:00:00+00:00'],[2545.06]
Bought,GOOG,[3.],['2022-04-14 00:00:00+00:00'],[2545.06]
Sold,GOOG,[3.],['2022-04-18 00:00:00+00:00'],[2559.22]
Bought,GOOG,[3.],['2022-04-18 00:00:00+00:00'],[2559.22]
Sold,GOOG,[3.],['2022-04-19 00:00:00+00:00'],[2610.62]
Bought,GOOG,[3.],['2022-04-19 00:00:00+00:00'],[2610.62]
Sold,GOOG,[3.],['2022-04-20 00:00:00+00:00'],[2564.91]
Bought,GOOG,[3.],['2022-04-20 00:00:00+00:00'],[2564.91]
Sold,GOOG,[3.],['2022-04-21 00:00:00+00:00'],[2498.75]
Bought,GOOG,[3.],['2022-04-21 00:00:00+00:00'],[2498.75]
Sold,GOOG,[3.],['2022-04-22 00:00:00+00:00'],[2392.28]
Bought,GOOG,[3.],['2022-04-22 00:00:00+00:00'],[2392.28]
Sold,GOOG,[3.],['2022-04-25 00:00:00+00:00'],[2465.]
Bought,GOOG,[3.],['2022-04-25 00:00:00+00:00'],[2465.]
Sold,GOOG,[3.],['2022-04-26 00:00:00+00:00'],[2390.12]
Bought,GOOG,[3.],['2022-04-26 00:00:00+00:00'],[2390.12]
Sold,GOOG,[3.],['2022-04-27 00:00:00+00:00'],[2300.41]
Bought,GOOG,[3.],['2022-04-27 00:00:00+00:00'],[2300.41]
Sold,GOOG,[3.],['2022-04-28 00:00:00+00:00'],[2388.23]
Bought,GOOG,[3.],['2022-04-28 00:00:00+00:00'],[2388.23]
Sold,GOOG,[3.],['2022-04-29 00:00:00+00:00'],[2299.33]
Bought,GOOG,[3.],['2022-04-29 00:00:00+00:00'],[2299.33]
